MACHINE LEARNING ALGORITHM:,,,,,,
Random Forest Classifier,Gradient Boosting Classifier,Support Vector Machine,Logistic Regression,K-Neighbors Classifier,Neural MLP Classifier,Decision Tree Classifier
65) Avg Total Ground Strikes Absorbed Diff: 0.006,65) Avg Leg Strikes Landed Diff: 0.004,65) Avg Ground Strikes Def Diff: 0.063,65) Sig Strikes Acc Diff: 0.041,65) Takedowns Attempts Per Min Diff: 0.001,65) Total Takedowns Absorbed Diff: 0.020,65) Total Distance Strikes Absorbed Diff: 0.005
66) Avg Body Strikes Landed Per Min Diff: 0.005,66) Clinch Strikes Acc Diff: 0.004,66) Avg Sub Acc Diff: 0.063,66) Avg Control Diff: 0.040,66) Ground Strikes Landed Per Min Diff: 0.001,66) Total Distance Strikes Absorbed Diff: 0.020,66) Avg Distance Strikes Landed Diff: 0.005
67) Avg Head Strikes Attempts Per Min Diff: 0.005,67) Avg Win Streak Diff: 0.004,67) Avg Body Strikes Landed Per Min Diff: 0.062,67) Avg Total Strikes Absorbed Diff: 0.040,67) Avg Leg Strikes Landed Per Min Diff: 0.001,67) Body Strikes Landed Per Min Diff: 0.020,67) Avg Total Ground Strikes Absorbed Diff: 0.005
68) Body Strikes Attempts Per Min Diff: 0.005,68) Total Body Strikes Absorbed Diff: 0.004,68) Total Takedowns Absorbed Diff: 0.061,68) Avg Total Sig Strikes Absorbed Diff: 0.039,68) Avg Distance Strikes Acc Diff: 0.001,68) Head Strikes Landed Per Min Diff: 0.020,68) Takedowns Attempts Per Min Diff: 0.005
69) Stamina Diff: 0.005,69) Avg Total Body Strikes Absorbed Diff: 0.004,69) Avg Distance Strikes Def Diff: 0.061,69) Avg Body Strikes Landed Diff: 0.039,69) Avg Body Strikes Attempts Per Min Diff: 0.001,69) Avg Stamina Diff: 0.020,69) Avg Total Strikes Acc Diff: 0.005
70) Avg Takedowns Absorbed Diff: 0.005,70) Takedowns Landed Per Min Diff: 0.004,70) Total Distance Strikes Absorbed Diff: 0.060,70) Sig Strikes Landed Diff: 0.039,70) Avg Sig Strikes Absorbed Diff: 0.001,70) Leg Strikes Landed Per Min Diff: 0.020,70) Distance Strikes Landed Diff: 0.005
71) Ground Strikes Acc Diff: 0.005,71) Avg Body Strikes Absorbed Diff: 0.003,71) Leg Strikes Landed Per Min Diff: 0.060,71) Avg Sub Acc Diff: 0.039,71) Head Strikes Def Diff: 0.001,71) Total Body Strikes Absorbed Diff: 0.020,71) Avg Leg Strikes Landed Diff: 0.005
72) Num Fights Diff: 0.005,72) Avg Leg Strikes Acc Diff: 0.003,72) Avg Distance Strikes Absorbed Diff: 0.059,72) Distance Strikes Landed Per Min Diff: 0.039,72) Clinch Strikes Absorbed Diff: 0.001,72) Avg Distance Strikes Attempts Per Min Diff: 0.019,72) Avg Body Strikes Landed Per Min Diff: 0.005
73) Avg Body Strikes Attempts Per Min Diff: 0.005,73) Head Strikes Landed Diff: 0.003,73) Avg Head Strikes Acc Diff: 0.059,73) Avg Distance Strikes Attempts Per Min Diff: 0.039,73) Avg Total Comp Time Diff: 0.001,73) Total Sig Strikes Absorbed Diff: 0.019,73) Avg Win Loss Ratio Diff: 0.005
74) Sig Strikes Landed Diff: 0.005,74) Avg Clinch Strikes Landed Per Min Diff: 0.003,74) Ground Strikes Landed Per Min Diff: 0.059,74) Takedowns Def Diff: 0.037,74) Body Strikes Landed Diff: 0.001,74) Avg Total Strikes Landed Diff: 0.019,74) Avg Total Leg Strikes Absorbed Diff: 0.005
75) Clinch Strikes Acc Diff: 0.005,75) Avg Total Strikes Absorbed Diff: 0.003,75) Win Loss Ratio Diff: 0.057,75) Avg Total Takedowns Absorbed Diff: 0.036,75) Avg Body Strikes Acc Diff: 0.001,75) Avg Distance Strikes Absorbed Diff: 0.019,75) Avg Head Strikes Attempts Diff: 0.005
76) Total Strikes Absorbed Diff: 0.005,76) Ground Strikes Landed Diff: 0.003,76) Total Total Strikes Absorbed Diff: 0.057,76) Avg Distance Strikes Def Diff: 0.035,76) Total Total Strikes Absorbed Diff: 0.001,76) Avg Ground Strikes Absorbed Diff: 0.019,76) Avg Clinch Strikes Landed Per Min Diff: 0.005
77) Leg Strikes Attempts Per Min Diff: 0.005,77) Avg Total Clinch Strikes Absorbed Diff: 0.003,77) Avg Sub Landed Diff: 0.057,77) Avg Distance Strikes Absorbed Diff: 0.035,77) Sig Strikes Landed Per Min Diff: 0.001,77) Avg Sig Strikes Attempts Per Min Diff: 0.019,77) Avg Takedowns Absorbed Diff: 0.005
78) Avg Leg Strikes Landed Per Min Diff: 0.005,78) Avg Body Strikes Attempts Per Min Diff: 0.003,78) Total Clinch Strikes Absorbed Diff: 0.056,78) Takedowns Landed Diff: 0.032,78) Avg Total Takedowns Absorbed Diff: 0.001,78) Avg Leg Strikes Landed Per Min Diff: 0.019,78) Head Strikes Acc Diff: 0.005
79) Avg Total Strikes Attempts Per Min Diff: 0.005,79) Leg Strikes Landed Diff: 0.003,79) Total Strikes Def Diff: 0.056,79) Avg Distance Strikes Acc Diff: 0.032,79) Head Strikes Attempts Per Min Diff: 0.001,79) Clinch Strikes Landed Per Min Diff: 0.019,79) Avg Distance Strikes Landed Per Min Diff: 0.005
80) Clinch Strikes Landed Per Min Diff: 0.005,80) Takedowns Attempts Per Min Diff: 0.003,80) Total Sig Strikes Absorbed Diff: 0.056,80) Total Clinch Strikes Absorbed Diff: 0.032,80) Avg Sig Strikes Attempts Per Min Diff: 0.001,80) Takedowns Attempts Per Min Diff: 0.018,80) Head Strikes Def Diff: 0.005
